AS1,AS2,Prefix
START,22652,216.205.252.0/24
22652,3356,216.205.252.0/24
3356,20374,216.205.252.0/24
START,7018,216.205.248.0/22
7018,701,216.205.248.0/22
701,20374,216.205.248.0/22
START,7018,85.133.172.0/22
7018,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,7018,85.133.204.0/22
7018,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,7018,85.133.236.0/22
7018,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,57821,81.31.224.0/19
57821,12389,81.31.224.0/19
12389,29049,81.31.224.0/19
29049,12880,81.31.224.0/19
12880,56466,81.31.224.0/19
56466,57235,81.31.224.0/19
START,3333,41.63.16.0/22
3333,1273,41.63.16.0/22
1273,174,41.63.16.0/22
174,36944,41.63.16.0/22
36944,37532,41.63.16.0/22
START,3333,41.63.52.0/22
3333,1273,41.63.52.0/22
1273,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,7018,41.63.52.0/22
7018,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,7018,41.63.16.0/22
7018,174,41.63.16.0/22
174,36944,41.63.16.0/22
36944,37532,41.63.16.0/22
START,1836,46.30.158.0/24
1836,3216,46.30.158.0/24
3216,29125,46.30.158.0/24
29125,43265,46.30.158.0/24
43265,39613,46.30.158.0/24
START,1836,46.30.155.0/24
1836,3216,46.30.155.0/24
3216,29125,46.30.155.0/24
29125,43265,46.30.155.0/24
43265,39613,46.30.155.0/24
START,1836,46.30.157.0/24
1836,3216,46.30.157.0/24
3216,29125,46.30.157.0/24
29125,43265,46.30.157.0/24
43265,39613,46.30.157.0/24
START,1836,89.184.28.0/24
1836,3216,89.184.28.0/24
3216,29125,89.184.28.0/24
29125,43265,89.184.28.0/24
43265,39613,89.184.28.0/24
START,1836,46.30.159.0/24
1836,3216,46.30.159.0/24
3216,29125,46.30.159.0/24
29125,43265,46.30.159.0/24
43265,39613,46.30.159.0/24
START,1836,89.184.12.0/24
1836,3216,89.184.12.0/24
3216,29125,89.184.12.0/24
29125,43265,89.184.12.0/24
43265,39613,89.184.12.0/24
START,3333,204.28.10.0/23
3333,3257,204.28.10.0/23
3257,53321,204.28.10.0/23
START,7018,204.28.10.0/23
7018,3257,204.28.10.0/23
3257,53321,204.28.10.0/23
START,7018,41.63.52.0/22
7018,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,7018,41.63.16.0/22
7018,174,41.63.16.0/22
174,36944,41.63.16.0/22
36944,37532,41.63.16.0/22
START,3333,216.205.248.0/22
3333,1273,216.205.248.0/22
1273,1299,216.205.248.0/22
1299,701,216.205.248.0/22
701,20374,216.205.248.0/22
START,3333,200.63.115.0/24
3333,1273,200.63.115.0/24
1273,1299,200.63.115.0/24
1299,3549,200.63.115.0/24
3549,27983,200.63.115.0/24
27983,27971,200.63.115.0/24
START,3333,200.63.118.0/24
3333,1273,200.63.118.0/24
1273,1299,200.63.118.0/24
1299,3549,200.63.118.0/24
3549,27983,200.63.118.0/24
27983,27971,200.63.118.0/24
START,3333,186.5.179.0/24
3333,1273,186.5.179.0/24
1273,1299,186.5.179.0/24
1299,3549,186.5.179.0/24
3549,27983,186.5.179.0/24
27983,27971,186.5.179.0/24
START,3333,200.63.112.0/24
3333,1273,200.63.112.0/24
1273,1299,200.63.112.0/24
1299,3549,200.63.112.0/24
3549,27983,200.63.112.0/24
27983,27971,200.63.112.0/24
START,3333,200.63.117.0/24
3333,1273,200.63.117.0/24
1273,1299,200.63.117.0/24
1299,3549,200.63.117.0/24
3549,27983,200.63.117.0/24
27983,27971,200.63.117.0/24
START,3333,200.63.113.0/24
3333,1273,200.63.113.0/24
1273,1299,200.63.113.0/24
1299,3549,200.63.113.0/24
3549,27983,200.63.113.0/24
27983,27971,200.63.113.0/24
START,3333,5.254.113.0/24
3333,8218,5.254.113.0/24
8218,3223,5.254.113.0/24
START,3333,109.163.232.0/24
3333,8218,109.163.232.0/24
8218,3223,109.163.232.0/24
START,3333,5.254.118.0/23
3333,8218,5.254.118.0/23
8218,3223,5.254.118.0/23
START,1836,85.133.172.0/22
1836,3356,85.133.172.0/22
3356,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,1836,85.133.236.0/22
1836,3356,85.133.236.0/22
3356,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,1836,85.133.164.0/22
1836,3356,85.133.164.0/22
3356,3491,85.133.164.0/22
3491,12880,85.133.164.0/22
12880,44285,85.133.164.0/22
44285,21341,85.133.164.0/22
21341,39074,85.133.164.0/22
START,3333,37.233.0.0/24
3333,8218,37.233.0.0/24
8218,3223,37.233.0.0/24
3223,31252,37.233.0.0/24
START,3333,37.228.138.0/24
3333,8218,37.228.138.0/24
8218,3223,37.228.138.0/24
3223,198599,37.228.138.0/24
START,3333,37.228.135.0/24
3333,8218,37.228.135.0/24
8218,3223,37.228.135.0/24
3223,198599,37.228.135.0/24
START,4777,193.41.195.0/24
4777,2500,193.41.195.0/24
2500,7660,193.41.195.0/24
7660,4635,193.41.195.0/24
4635,9002,193.41.195.0/24
9002,42979,193.41.195.0/24
42979,2588,193.41.195.0/24
2588,43513,193.41.195.0/24
43513,5518,193.41.195.0/24
5518,31519,193.41.195.0/24
31519,16062,193.41.195.0/24
START,4777,81.31.224.0/19
4777,2516,81.31.224.0/19
2516,12389,81.31.224.0/19
12389,29049,81.31.224.0/19
29049,12880,81.31.224.0/19
12880,56466,81.31.224.0/19
56466,57235,81.31.224.0/19
START,4777,41.63.16.0/22
4777,2497,41.63.16.0/22
2497,2914,41.63.16.0/22
2914,174,41.63.16.0/22
174,36944,41.63.16.0/22
36944,37532,41.63.16.0/22
START,4777,41.63.56.0/22
4777,2497,41.63.56.0/22
2497,2914,41.63.56.0/22
2914,174,41.63.56.0/22
174,36944,41.63.56.0/22
36944,37532,41.63.56.0/22
START,4777,85.133.204.0/22
4777,2516,85.133.204.0/22
2516,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,4777,85.133.172.0/22
4777,2516,85.133.172.0/22
2516,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,4777,85.133.236.0/22
4777,2516,85.133.236.0/22
2516,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,4777,69.174.82.0/23
4777,2516,69.174.82.0/23
2516,3257,69.174.82.0/23
3257,53321,69.174.82.0/23
START,4777,85.133.172.0/22
4777,2516,85.133.172.0/22
2516,6453,85.133.172.0/22
6453,8529,85.133.172.0/22
8529,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,4777,85.133.204.0/22
4777,2516,85.133.204.0/22
2516,6453,85.133.204.0/22
6453,8529,85.133.204.0/22
8529,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,4777,85.133.164.0/22
4777,2516,85.133.164.0/22
2516,6453,85.133.164.0/22
6453,8529,85.133.164.0/22
8529,12880,85.133.164.0/22
12880,44285,85.133.164.0/22
44285,21341,85.133.164.0/22
21341,39074,85.133.164.0/22
START,3333,178.168.4.0/24
3333,8218,178.168.4.0/24
8218,3223,178.168.4.0/24
3223,31252,178.168.4.0/24
START,3333,46.102.154.0/24
3333,8218,46.102.154.0/24
8218,3223,46.102.154.0/24
3223,31252,46.102.154.0/24
START,3333,87.248.160.0/24
3333,8218,87.248.160.0/24
8218,3223,87.248.160.0/24
3223,31252,87.248.160.0/24
START,3333,104.143.9.0/24
3333,8218,104.143.9.0/24
8218,3223,104.143.9.0/24
3223,62956,104.143.9.0/24
62956,53340,104.143.9.0/24
53340,36114,104.143.9.0/24
START,3333,72.46.150.0/24
3333,8218,72.46.150.0/24
8218,3223,72.46.150.0/24
3223,62956,72.46.150.0/24
62956,53340,72.46.150.0/24
53340,36114,72.46.150.0/24
START,3333,72.46.151.0/24
3333,8218,72.46.151.0/24
8218,3223,72.46.151.0/24
3223,62956,72.46.151.0/24
62956,53340,72.46.151.0/24
53340,36114,72.46.151.0/24
START,3333,104.238.195.0/24
3333,8218,104.238.195.0/24
8218,3223,104.238.195.0/24
3223,62956,104.238.195.0/24
62956,53340,104.238.195.0/24
53340,36114,104.238.195.0/24
START,3333,72.46.154.0/24
3333,8218,72.46.154.0/24
8218,3223,72.46.154.0/24
3223,62956,72.46.154.0/24
62956,53340,72.46.154.0/24
53340,36114,72.46.154.0/24
START,3333,104.194.0.0/24
3333,8218,104.194.0.0/24
8218,3223,104.194.0.0/24
3223,62956,104.194.0.0/24
62956,53340,104.194.0.0/24
53340,36114,104.194.0.0/24
START,3333,104.238.192.0/24
