Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
2024-02-01 07:00,202365,8,435,44103,2.56,304
2024-02-01 07:01,202365,11,599,44103,2.61,418
2024-02-01 07:02,202365,13,1386,34927,2.67,910
2024-02-01 07:03,202365,13,1891,34927,2.89,1136
2024-02-01 07:04,202365,13,1950,34927,3.12,1208
2024-02-01 07:05,202365,13,2000,34927,3.24,1346
2024-02-01 07:06,34927,15,1424,34927,3.39,1424
2024-02-01 07:07,34927,18,1524,34927,3.44,1524
2024-02-01 07:08,34927,19,1724,34927,3.3,1724
2024-02-01 07:09,34927,19,1844,34927,3.45,1844
