Time,AS,MaxPaths,Prefixes
2024-02-01 07:00,202365,30,13215
2024-02-01 08:04,34927,32,822510
2024-02-01 09:04,34927,32,823295
2024-02-01 10:04,34927,32,823759
2024-02-01 11:04,44393,35,823337
2024-02-01 12:04,44393,36,824316
2024-02-01 13:04,44393,41,824753
2024-02-01 14:04,44393,44,825285
2024-02-01 15:04,44393,46,825560
2024-02-01 16:04,44393,50,843492
2024-02-01 17:04,44393,53,844110
2024-02-01 18:04,44393,58,844260
2024-02-01 19:04,44393,59,844412
2024-02-01 20:04,44393,64,861599
2024-02-01 21:04,44393,67,861698
2024-02-01 22:04,44393,70,861843
2024-02-01 23:04,44393,72,861998
2024-02-02 00:04,44393,76,862075
2024-02-02 01:04,44393,77,862299
2024-02-02 02:04,44393,77,862366
2024-02-02 03:04,44393,77,862435
2024-02-02 04:04,44393,77,862588
2024-02-02 05:04,44393,77,862645
