Collector,Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
rrc00,2024-02-01 00:00,44103,18,1517,202365,3.26,1925
rrc01,2024-02-01 00:00,62167,13,1583,62167,2.57,1583
rrc03,2024-02-01 00:00,8283,14,1310,199938,2.83,975
rrc04,2024-02-01 00:00,15547,9,1674,15547,2.14,1674
rrc05,2024-02-01 00:00,51184,11,1465,51184,2.81,1465
rrc06,2024-02-01 00:00,25152,8,875,25152,2.58,875
rrc07,2024-02-01 00:00,6667,9,1584,6667,2.68,1584
rrc10,2024-02-01 00:00,20811,9,1478,20811,2.65,1478
rrc11,2024-02-01 00:00,199524,9,912,199524,2.55,912
rrc13,2024-02-01 00:00,41722,12,1479,41722,2.49,1479
rrc14,2024-02-01 00:00,14061,9,1366,14061,2.4,1366
rrc20,2024-02-01 00:00,20612,13,2142,12307,3.02,1382
rrc21,2024-02-01 00:00,2027,12,1829,34019,2.44,980
rrc22,2024-02-01 00:00,31554,7,1641,56430,2.12,1709
rrc23,2024-02-01 00:00,18106,11,896,18106,3.26,896
rrc24,2024-02-01 00:00,270014,12,1418,270014,2.91,1418
rrc25,2024-02-01 00:00,212123,17,1763,29049,3.57,1838
rrc26,2024-02-01 00:00,49544,9,1229,49544,2.56,1229
rrc00,2024-02-01 00:05,202365,19,2684,34927,3.56,2513
rrc01,2024-02-01 00:05,62167,16,2144,62167,2.85,2144
rrc03,2024-02-01 00:05,8283,14,1810,209650,2.96,1482
rrc04,2024-02-01 00:05,15547,10,2082,15547,2.22,2082
rrc05,2024-02-01 00:05,51184,12,1971,51184,3.37,1971
rrc06,2024-02-01 00:05,59105,10,1131,25152,2.5,1425
rrc07,2024-02-01 00:05,6667,9,2155,6667,2.81,2155
rrc10,2024-02-01 00:05,20811,10,2047,20811,2.91,2047
rrc11,2024-02-01 00:05,199524,9,1411,14061,2.63,1740
rrc13,2024-02-01 00:05,41722,12,2048,41722,2.7,2048
rrc14,2024-02-01 00:05,14061,9,1894,14061,2.7,1894
rrc20,2024-02-01 00:05,12307,15,1832,12307,3.28,1832
rrc21,2024-02-01 00:05,2027,12,2656,8218,2.56,6219
rrc22,2024-02-01 00:05,31554,8,2899,56430,2.18,2191
rrc23,2024-02-01 00:05,18106,13,1429,18106,3.19,1429
rrc24,2024-02-01 00:05,263702,12,2451,270014,3.09,1948
rrc25,2024-02-01 00:05,212123,18,2197,29049,3.83,2331
rrc26,2024-02-01 00:05,49544,12,1699,49544,2.64,1699
rrc00,2024-02-01 00:10,202365,19,3570,34927,3.52,3504
rrc01,2024-02-01 00:10,62167,16,2764,62167,3.01,2764
rrc03,2024-02-01 00:10,8283,15,2359,8283,2.94,2359
rrc04,2024-02-01 00:10,15547,11,2491,15547,2.29,2491
rrc05,2024-02-01 00:10,51184,12,2812,51184,3.21,2812
rrc06,2024-02-01 00:10,59105,12,1398,59105,2.64,1398
rrc07,2024-02-01 00:10,6667,11,2469,6667,3.04,2469
rrc10,2024-02-01 00:10,20811,11,2685,20811,3.08,2685
